nombre,Latitud,Longitud,coordenadas
UMF 186 IZTACALA,19.5091,-98.884,"19.5091,-98.884"
UMF 184 INFONAVIT SUR,19.6658,-99.1674,"19.6658,-99.1674"
UMF 93 CERRO GORDO,19.5502,-99.052,"19.5502,-99.052"
UMF 92 CD. AZTECA,19.528,-99.0309,"19.528,-99.0309"
UMF 89 OTUMBA,19.6995,-98.7532,"19.6995,-98.7532"
UMF 91 VILLA DE LAS FLORES,19.6374,-99.0996,"19.6374,-99.0996"
UMF-UMAA 198 SAN RAFAEL,19.6333,-99.0931,"19.6333,-99.0931"
UMF-UMAA 180 CHALCO I,19.2866,-98.9158,"19.2866,-98.9158"
UMF 181 CHALCO II,19.2652,-98.8993,"19.2652,-98.8993"
UMF 195 CHALCO,19.2748,-98.8926,"19.2748,-98.8926"
UMF 193 CHALCO,19.2674,-98.8857,"19.2674,-98.8857"
UMF 69 TEXCOCO,19.5153,-98.8796,"19.5153,-98.8796"
UMF 189 CHIMALHUACÁN,19.4375,-98.9597,"19.4375,-98.9597"
UMF 85 TEZOYUCA,19.5981,-98.909,"19.5981,-98.909"
UMF 81 JUCHITEPEC,19.1001,-98.8795,"19.1001,-98.8795"
UMF 86 IXTAPALUCA,19.3184,-98.9105,"19.3184,-98.9105"
UMF 87 OZUMBA,19.0354,-98.7963,"19.0354,-98.7963"
UMF 54 APAXCO,19.9701,-99.174,"19.9701,-99.174"
UMF 55 ZUMPANGO,19.8001,-99.0898,"19.8001,-99.0898"
UMF 56 JILOTEPEC,19.95,-99.5338,"19.95,-99.5338"
UMF 222 TOLUCA,19.29,-99.647,"19.29,-99.647"
UMF 71 AYUTLA,20.1235,-104.3402,"20.1235,-104.3402"
UMF 225 TOLUCA,19.2862,-99.65,"19.2862,-99.65"
UMF 230 TOLUCA,19.28,-99.6377,"19.28,-99.6377"
UMF 220 TOLUCA,19.28,-99.64,"19.28,-99.64"
UMF 244 TOLUCA,19.2938,-99.638,"19.2938,-99.638"
UMF 249 SANTIAGO TLAXOMULCO,19.3236,-99.6691,"19.3236,-99.6691"
UMF 223 LERMA,19.2868,-99.5157,"19.2868,-99.5157"
UMF 51 STA. MÓNICA,19.532,-99.2246,"19.532,-99.2246"
UMF 80 SATÉLITE,19.5169,-99.2272,"19.5169,-99.2272"
UMF 226 IXTLAHUACA,19.5757,-99.7674,"19.5757,-99.7674"
UMFH 227 IXTAPAN SAL,18.8478,-99.6806,"18.8478,-99.6806"
UMF 228 SANTIAGO,19.181,-99.4724,"19.181,-99.4724"
UMF 242 TENANGO,19.1039,-99.5864,"19.1039,-99.5864"
UMF 236 EL ORO,19.803,-100.1317,"19.803,-100.1317"
UMF 243 V. VICTORIA,19.42,-99.9966,"19.42,-99.9966"
UMF 238 SULTEPEC,18.864,-99.9653,"18.864,-99.9653"
UMF 240 TEMASCALTEPEC,19.0454,-100.0443,"19.0454,-100.0443"
UMF 237 MALINALCO,18.947,-99.4961,"18.947,-99.4961"
UMF 61 NAUCALPAN,19.4731,-99.2302,"19.4731,-99.2302"
UMF 97 SAN BARTOLO,19.4734,-99.2315,"19.4734,-99.2315"
UMF 232 VILLA GRO,18.9594,-99.6436,"18.9594,-99.6436"
UMF 190 HUIXQUILUCAN,19.4063,-99.3131,"19.4063,-99.3131"
UMF 246 JOCOTITLÁN,19.7045,-99.7909,"19.7045,-99.7909"
UMFH 20 PATZCUARO,19.5197,-101.363,"19.5197,-101.363"
UMF 7 TIERRA COLORADA,17.1622,-99.5248,"17.1622,-99.5248"
UMF 71 MORELIA,19.6841,-101.1768,"19.6841,-101.1768"
UMF 80 MORELIA,19.4138,-101.1435,"19.4138,-101.1435"
UMF 70 ZINAPÉCUARO,19.5056,-100.492,"19.5056,-100.492"
UMFH 18 ZITÁCUARO,19.4431,-100.3507,"19.4431,-100.3507"
UMF 23 INFIERNILLO,18.2911,-101.904,"18.2911,-101.904"
UMF 37 MINERAL ANGANGEO,19.6172,-100.287,"19.6172,-100.287"
UMFH 26 TARETÁN,19.3404,-101.916,"19.3404,-101.916"
UMF 28 STA. CLARA,19.7023,-102.521,"19.7023,-102.521"
UMF 52 NVO. URECHO,19.1658,-101.869,"19.1658,-101.869"
UMF 78 LÁZARO CÁRDENAS,17.9592,-102.1329,"17.9592,-102.1329"
UMF 10 JUNGAPEO,19.4588,-100.4952,"19.4588,-100.4952"
UMF 11 NVA. ITALIA,19.0275,-102.0842,"19.0275,-102.0842"
UMF 57 TANCITARO,19.3358,-102.363,"19.3358,-102.363"
UMF 58 TEPALCATEPEC,19.184,-102.8479,"19.184,-102.8479"
UMF 46 LA HUACANA,18.9599,-101.8098,"18.9599,-101.8098"
UMF 65 VILLA MADERO,19.2325,-101.1654,"19.2325,-101.1654"
UMF 61 TUZANTLA,19.2116,-100.3446,"19.2116,-100.3446"
UMF 43 CHURUMUCO,20.1495,-101.3847,"20.1495,-101.3847"
UMF 72 YURECUARO,20.1959,-102.175,"20.1959,-102.175"
UMF 74 TACAMBARO,19.4094,-101.2733,"19.4094,-101.2733"
UMF 31 GUACAMAYAS,18.0201,-102.2122,"18.0201,-102.2122"
UMF 79 TLALPUJAHUA,19.8052,-100.1703,"19.8052,-100.1703"
UMF 20 CUERNAVACA,18.918,-99.234,"18.918,-99.234"
UMF 3 JIUTEPEC,18.8822,-99.1767,"18.8822,-99.1767"
UMF 23 CIVAC,18.9196,-99.1641,"18.9196,-99.1641"
UMF 2 XOCHITEPEC,18.7841,-99.23,"18.7841,-99.23"
UMF 16 TEMIXCO,18.8343,-99.21,"18.8343,-99.21"
UMF 18 E. ZAPATA,18.8391,-99.185,"18.8391,-99.185"
UMF 11 TLAQUILTENANGO,18.6279,-99.1625,"18.6279,-99.1625"
UMF 6 PUENTE IXTLA,18.6242,-99.3221,"18.6242,-99.3221"
UMF 4 JOJUTLA,18.6164,-99.1773,"18.6164,-99.1773"
UMF 13 MIACATLÁN,18.763,-99.3559,"18.763,-99.3559"
UMF 21 JANTETELCO,18.7154,-98.7786,"18.7154,-98.7786"
UMF 19 TEPOZTLÁN,18.984,-99.1035,"18.984,-99.1035"
UMF 14 OACALCO,18.9221,-99.0301,"18.9221,-99.0301"
UMF 25 TEPIC,21.5003,-104.899,"21.5003,-104.899"
UMF 20 TEPIC,21.5268,-104.8808,"21.5268,-104.8808"
UMF 2 FCO. MADERO,21.5826,-104.8263,"21.5826,-104.8263"
UMF 27 SAN JOSÉ DEL VALLE,20.7744,-105.2274,"20.7744,-105.2274"
